Semester,Course Code,Course Name,Credits,Prerequisites,Type
5. Yarıyıl,MAT 471E,Financial Mathematics,3,MAT 232 MIN DD veya MAT 232E MIN DD veya BIO 210E MIN DD veya BLG 210E MIN DD veya CEV 210 MIN DD veya CEV 210E MIN DD veya DEN 210E MIN DD veya EEE 210E MIN DD veya EEF 210 MIN DD veya EEF 210E MIN DD veya FIZ 210 MIN DD veya GEM 210E MIN DD veya GEO 220 MIN DD veya GEO 220E MIN DD veya INS 210 MIN DD veya INS 210E MIN DD veya KIM 271 MIN DD veya MAK 210E MIN DD veya MAT 201 MIN DD veya MAT 201E MIN DD veya MAT 210 MIN DD veya MAT 210E MIN DD,Elective Analytic
6. Yarıyıl,END 314E,Service Systems,3,Yok,Elective Functional
6. Yarıyıl,END 316E,Group Technology and Flexible Manufacturing Systems,3,Yok,Elective Functional
6. Yarıyıl,END 364E,Work Psychology,3,Yok,Elective Functional
6. Yarıyıl,END 374E,Competition Management,3,Yok,Elective Functional
6. Yarıyıl,END 382E,Production Methods,3,END 112E MIN DD,Elective Functional
6. Yarıyıl,END 414E,Maintenance Management,3,END 252 MIN DD veya END 252E MIN DD,Elective Functional
6. Yarıyıl,END 426E,Enterprise Resources Planning,3,END 421 MIN DD veya END 421E MIN DD veya ISL 384 MIN DD veya ISL 384E MIN DD,Elective Functional
6. Yarıyıl,END 432E,Facility Layout,3,Yok,Elective Functional
6. Yarıyıl,END 434E,Intro.to Strategic Management,3,END 323 MIN DD veya END 431 MIN DD veya END 431E MIN DD,Elective Functional
6. Yarıyıl,END 435E,Work Safety,3,Yok,Elective Functional
6. Yarıyıl,END 452E,Purchasing Management,3,Yok,Elective Functional
6. Yarıyıl,END 454E,Energy Markets & Optimization,3,END 331 MIN DD veya END 331E MIN DD veya ISL 323 MIN DD veya ISL 323E MIN DD,Elective Functional
6. Yarıyıl,END 472E,Advanced Spreadsheet Modeling,3,Yok,Elective Functional
6. Yarıyıl,END 486E,The New Era of Management,3,Yok,Elective Functional
6. Yarıyıl,END 488E,ERP Processes and Installation,3,Yok,Elective Functional
6. Yarıyıl,ISL 224E,Cost Accounting,3,Yok,Elective Functional
6. Yarıyıl,ISL 452E,Financial Inst.&Portfolio Mng.,3,ISL 333E MIN DD veya ISL 333 MIN DD veya END 424 MIN DD veya END 424E MIN DD veya ECN 309E MIN DD,Elective Functional
6. Yarıyıl,ISL 460E,E-Marketing,3,ISL 353E MIN DD veya ISL 353 MIN DD veya END 433 MIN DD veya END 433E MIN DD,Elective Functional
6. Yarıyıl,KON 322E,Industrial Automated Systems,3,BLG 231 MIN DD veya BLG 231E MIN DD,Elective Functional
6. Yarıyıl,KON 324E,Sensors&Transducers in Contr.,3,Yok,Elective Functional
6. Yarıyıl,ALM 101,Almanca I,3,Yok,ITB
6. Yarıyıl,ALM 102,Almanca II,3,Yok,ITB
6. Yarıyıl,ALM 201,Almanca III,3,Yok,ITB
6. Yarıyıl,ALM 202,Almanca IV,3,Yok,ITB
6. Yarıyıl,ALM 301,Almanca V,3,Yok,ITB
6. Yarıyıl,ALM 302,Almanca VI,3,Yok,ITB
6. Yarıyıl,ALM 401,Almanca VII,3,Yok,ITB
6. Yarıyıl,ARB 101,Arapça I,3,Yok,ITB
6. Yarıyıl,ARB 102,Arapça II,3,Yok,ITB
6. Yarıyıl,CIN 101,Çince I,3,Yok,ITB
6. Yarıyıl,CIN 102,Çince II,3,Yok,ITB
6. Yarıyıl,CIN 201,Çince III,3,Yok,ITB
6. Yarıyıl,FRA 101,Fransızca I,3,Yok,ITB
6. Yarıyıl,FRA 102,Fransızca II,3,Yok,ITB
6. Yarıyıl,FRA 201,Fransızca III,3,Yok,ITB
6. Yarıyıl,FRA 202,Fransızca IV,3,Yok,ITB
6. Yarıyıl,FRA 301,Fransızca V,3,Yok,ITB
6. Yarıyıl,FRA 302,Fransızca VI,3,Yok,ITB
6. Yarıyıl,HUK 211,Sosyal Güvenlik Hukuku,3,Yok,ITB
6. Yarıyıl,HUK 212,Sendika.&Toplu İş Sözl.Hukuku,3,Yok,ITB
